date,scraped_at,product_id,name,brand,price_cents,in_stock,url,status
2026-01-09,2026-01-09T17:54:26,936049,Bose QuietComfort Headphones Wit,Bose,22000,True,https://www.coolblue.nl/product/936049/bose-quietcomfort-headphones-wit.html,ok
2026-01-09,2026-01-09T17:54:30,960369,JBL Tour One M3 Smart TX Blauw,JBL,26900,True,https://www.coolblue.nl/product/960369/jbl-tour-one-m3-smart-tx-blauw.html,ok
2026-01-09,2026-01-09T17:54:34,934187,Beats Studio Pro Zwart,Beats,40000,True,https://www.coolblue.nl/product/934187/beats-studio-pro-zwart.html,ok
2026-01-09,2026-01-09T17:54:38,934403,JBL Live 770NC Rosegoud,JBL,11800,True,https://www.coolblue.nl/product/934403/jbl-live-770nc-rosegoud.html,ok
2026-01-09,2026-01-09T17:54:42,947607,Soundcore Space One Zwart,Soundcore by Anker,9400,True,https://www.coolblue.nl/product/947607/soundcore-space-one-zwart.html,ok
2026-01-09,2026-01-09T17:54:47,923506,Sony WH-CH720N Blauw,Sony,8500,True,https://www.coolblue.nl/product/923506/sony-wh-ch720n-blauw.html,ok
2026-01-09,2026-01-09T17:54:53,946494,Sony ULT Wear Groen,Sony,13900,True,https://www.coolblue.nl/product/946494/sony-ult-wear-groen.html,ok
2026-01-09,2026-01-09T17:54:57,948053,Sonos Ace Wit,Sonos,37500,True,https://www.coolblue.nl/product/948053/sonos-ace-wit.html,ok
2026-01-09,2026-01-09T17:55:01,955104,Bowers & Wilkins PX8 Groen,Bowers & Wilkins,44400,True,https://www.coolblue.nl/product/955104/bowers-wilkins-px8-groen.html,ok
2026-01-09,2026-01-09T17:55:06,934400,JBL Live 770NC Zwart,JBL,18000,False,https://www.coolblue.nl/product/934400/jbl-live-770nc-zwart.html,ok
2026-01-09,2026-01-09T17:55:10,968681,Bose QuietComfort Ultra Headphones (2e gen) Paars,Bose,45000,True,https://www.coolblue.nl/product/968681/bose-quietcomfort-ultra-headphones-2e-gen-paars.html,ok
2026-01-09,2026-01-09T17:55:14,857143,Marshall Monitor II ANC Zwart,Marshall,20800,True,https://www.coolblue.nl/product/857143/marshall-monitor-ii-anc-zwart.html,ok
2026-01-09,2026-01-09T17:55:18,972171,JBL Tune 780NC Zwart,JBL,12900,True,https://www.coolblue.nl/product/972171/jbl-tune-780nc-zwart.html,ok
2026-01-09,2026-01-09T17:55:23,969276,Bowers & Wilkins PX8 S2 Beige,Bowers & Wilkins,72900,True,https://www.coolblue.nl/product/969276/bowers-wilkins-px8-s2-beige.html,ok
2026-01-09,2026-01-09T17:55:27,968678,Bose QuietComfort Ultra Headphones (2e gen) Wit,Bose,45000,True,https://www.coolblue.nl/product/968678/bose-quietcomfort-ultra-headphones-2e-gen-wit.html,ok
2026-01-09,2026-01-09T17:55:31,962051,Sony WH-CH720N Roze,Sony,8600,True,https://www.coolblue.nl/product/962051/sony-wh-ch720n-roze.html,ok
2026-01-09,2026-01-09T17:55:35,943645,Sennheiser Momentum 4 Wireless Grijs,Sennheiser,25000,True,https://www.coolblue.nl/product/943645/sennheiser-momentum-4-wireless-grijs.html,ok
2026-01-09,2026-01-09T17:55:40,968197,Skullcandy Aviator 900 ANC Zwart,Skullcandy,30000,True,https://www.coolblue.nl/product/968197/skullcandy-aviator-900-anc-zwart.html,ok
2026-01-09,2026-01-09T17:55:45,917586,Bowers & Wilkins Px8 Bruin,Bowers & Wilkins,44100,True,https://www.coolblue.nl/product/917586/bowers-wilkins-px8-bruin.html,ok
2026-01-09,2026-01-09T17:55:48,943646,Sennheiser Accentum Plus Zwart,Sennheiser,16400,True,https://www.coolblue.nl/product/943646/sennheiser-accentum-plus-zwart.html,ok
2026-01-09,2026-01-09T17:55:52,924585,Sony WH-1000XM5 Blauw,Sony,26900,True,https://www.coolblue.nl/product/924585/sony-wh-1000xm5-blauw.html,ok
2026-01-09,2026-01-09T17:55:57,965476,Bose QuietComfort Headphones Roze,Bose,22000,True,https://www.coolblue.nl/product/965476/bose-quietcomfort-headphones-roze.html,ok
2026-01-09,2026-01-09T17:56:00,973133,Fairphone Fairbuds XL Groen,Fairphone,24500,True,https://www.coolblue.nl/product/973133/fairphone-fairbuds-xl-groen.html,ok
2026-01-09,2026-01-09T17:56:05,923507,Sony WH-CH720N Wit,Sony,9000,True,https://www.coolblue.nl/product/923507/sony-wh-ch720n-wit.html,ok
2026-01-09,2026-01-09T17:56:09,934396,JBL Live 670NC Zwart,JBL,10900,True,https://www.coolblue.nl/product/934396/jbl-live-670nc-zwart.html,ok
2026-01-09,2026-01-09T17:56:13,951362,JBuds Lux ANC Wit,JLAB,10000,True,https://www.coolblue.nl/product/951362/jbuds-lux-anc-wit.html,ok
2026-01-09,2026-01-09T17:56:17,936374,Sennheiser Accentum Wireless Zwart,Sennheiser,14400,True,https://www.coolblue.nl/product/936374/sennheiser-accentum-wireless-zwart.html,ok
2026-01-09,2026-01-09T17:56:24,946495,Sony ULT Wear Wit,Sony,13900,True,https://www.coolblue.nl/product/946495/sony-ult-wear-wit.html,ok
2026-01-09,2026-01-09T17:56:29,963646,Bowers & Wilkins Px7 S3 Wit,Bowers & Wilkins,33600,True,https://www.coolblue.nl/product/963646/bowers-wilkins-px7-s3-wit.html,ok
2026-01-09,2026-01-09T17:56:34,905649,Sony WH-1000XM5 Zilver,Sony,26900,True,https://www.coolblue.nl/product/905649/sony-wh-1000xm5-zilver.html,ok
